n_epochs,losses,color_1,color_2,color_3,color_4,color_5,color_6,color_7,color_8,color_9,color_10,color_11,color_12,color_13,color_14,color_15,color_16,color_17,color_18,color_19,color_20
86,0.017223729,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000
87,0.016665237,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000
88,0.016139153,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000
89,0.015642842,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000
90,0.01517484,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000
91,0.01473361,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000
92,0.014319469,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000
93,0.013924235,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000
94,0.013551162,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000
95,0.0131969,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000
96,0.012860333,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000
97,0.012539997,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000
98,0.012234624,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000
99,0.011943278,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000
100,0.011665964,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000
